확진일,봉천동,신림동,남현동,청림동,성현동
20200225,1,,,,
20200226,1,,,,
20200229,1,,,,
20200302,1,,,,
20200306,1,,,,
20200309,,1,,,
20200310,,5,,,
20200311,1,2,,,
20200313,1,,,,
20200316,1,,,,
20200317,1,,,,
20200319,,1,,,
20200320,1,,,,
20200327,,,1,,
20200328,1,,2,,
20200329,4,,,,
20200330,4,,,,
20200331,,1,,,
20200401,1,1,,,
20200402,,1,,,
20200403,,1,,,
20200404,,2,,,
20200405,1,,,,
20200410,,1,,,
20200421,,1,,,
20200427,,1,,,
20200506,,1,1,,
20200507,2,,,,
20200508,2,1,,,
20200509,,1,,,
20200510,,2,,,
20200512,,1,,,
20200514,1,,,,
20200521,,1,,,
20200523,,1,,,
20200524,,1,,,
20200525,1,,,,
20200526,,1,,,
20200527,,2,,,
20200601,,1,,,
20200602,,1,,,
20200604,,2,,,
20200605,1,,,,
20200607,,1,,,
20200608,,2,,,
20200609,1,,,,
20200610,1,,,,
20200611,1,4,,,
20200612,,1,,,
20200613,1,,,,
20200615,1,,,,
20200617,,1,,,
20200618,1,,,,
20200620,,2,,,
20200623,2,,,,
20200624,1,5,,,
20200625,2,9,,,
20200626,3,3,,,
20200627,1,3,,,
20200630,1,3,,1,
20200701,3,3,,,1
20200702,2,,,,
20200703,,1,,,
20200704,,2,1,,
20200707,,2,,,
20200708,,,1,,
20200711,1,,,,
20200713,1,,,,
20200715,,2,,,
20200718,2,,,,
20200722,,1,,,
20200726,1,,,,
20200728,2,,,,
20200729,2,,,,
20200803,,1,,,
20200808,1,,,,
20200812,1,1,,,
20200814,1,1,,,
20200815,1,1,1,,
20200816,,1,1,,
20200818,5,1,,,
20200819,1,1,,,
20200820,1,,,,
